Time,NetEnergy,DiffEnergy
0.06775,45.8047,0.012401
0.06775,45.8047,1.2945e-06
0.0677679,45.8711,0.0664422
0.0679821,45.9636,0.092464
0.068,45.976,0.012401
0.068,45.976,1.2945e-06
0.0680179,46.0424,0.0664422
0.0682321,46.1349,0.092464
0.06825,46.1473,0.012401
0.06825,46.1473,1.2945e-06
0.0682679,46.2138,0.0664422
0.0684821,46.3062,0.092464
0.0685,46.3186,0.012401
0.0685,46.3186,1.2945e-06
0.0685179,46.3851,0.0664422
0.0687321,46.4775,0.092464
0.06875,46.4899,0.012401
0.06875,46.4899,1.2945e-06
0.0687679,46.5564,0.0664422
0.0689821,46.6488,0.092464
0.069,46.6612,0.012401
0.069,46.6612,1.2945e-06
0.0690179,46.7277,0.0664422
0.0692321,46.8201,0.092464
0.06925,46.8325,0.012401
0.06925,46.8325,1.2945e-06
0.0692679,46.899,0.0664422
0.0694821,46.9915,0.092464
0.0695,47.0039,0.012401
0.0695,47.0039,1.2945e-06
0.0695179,47.0703,0.0664422
0.0697321,47.1628,0.092464
0.06975,47.1752,0.012401
0.06975,47.1752,1.2945e-06
0.0697679,47.2416,0.0664422
0.0699821,47.3341,0.092464
0.07,47.3465,0.012401
0.07,47.3465,1.2945e-06
0.0700179,47.4129,0.0664422
0.0702321,47.5054,0.092464
0.07025,47.5178,0.012401
0.07025,47.5178,1.2945e-06
0.0702679,47.5842,0.0664422
